College_Name,State,Public_(1)/_Private_(2),#_appli._rec'd,#_appl._accepted,acceptance_rate,#_new_stud._enrolled,%_new_stud._from_top_10%,%_new_stud._from_top_25%,#_FT_undergrad,#_PT_undergrad,in-state_tuition,out-of-state_tuition,room,board,add._fees,estim._book_costs,estim._personal_$,%_fac._w/PHD,stud./fac._ratio,Graduation_rate,total_cost
Anderson University,IN,2,1216.0,908.0,74.67,423.0,19.0,40.0,1819.0,281.0,10100.0,10100.0,1620.0,1900.0,200.0,550.0,1100.0,48.0,12.1,59.0,25570.0
Ball State University,IN,1,9361.0,7910.0,84.5,3849.0,38.0,50.0,16148.0,2207.0,2864.0,7244.0,3608.0,,,500.0,1500.0,69.0,17.7,51.0,15716.0
Bethel College,IN,2,495.0,415.0,83.84,267.0,15.0,37.0,733.0,402.0,9300.0,9300.0,1300.0,1700.0,,500.0,,51.0,14.6,,22100.0
Butler University,IN,2,2362.0,2037.0,86.24,700.0,40.0,68.0,2607.0,148.0,13130.0,13130.0,2480.0,2170.0,65.0,500.0,1600.0,77.0,10.9,83.0,33075.0
DePauw University,IN,2,1994.0,1656.0,83.05,495.0,50.0,80.0,1983.0,36.0,14300.0,14300.0,2510.0,2510.0,200.0,550.0,950.0,78.0,11.1,82.0,35320.0
Earlham College,IN,2,1358.0,1006.0,74.08,274.0,35.0,63.0,1028.0,13.0,15036.0,15036.0,1899.0,2157.0,273.0,600.0,600.0,90.0,10.6,78.0,35601.0
University of Evansville,IN,2,2096.0,1626.0,77.58,694.0,35.0,67.0,2551.0,407.0,11800.0,11800.0,2520.0,1820.0,200.0,700.0,960.0,60.0,15.8,77.0,29800.0
Franklin College,IN,2,804.0,632.0,78.61,281.0,29.0,72.0,840.0,68.0,10390.0,10390.0,1790.0,2250.0,110.0,525.0,1345.0,54.0,12.5,60.0,26800.0
Goshen College,IN,2,440.0,396.0,90.0,221.0,26.0,51.0,910.0,166.0,9420.0,9420.0,1800.0,1930.0,,600.0,1230.0,51.0,9.9,72.0,24400.0
Grace College and Seminary,IN,2,548.0,428.0,78.1,167.0,18.0,46.0,618.0,113.0,8958.0,8958.0,1862.0,1956.0,,300.0,1000.0,53.0,15.3,64.0,23034.0
Hanover College,IN,2,1006.0,837.0,83.2,317.0,33.0,65.0,1024.0,15.0,8200.0,8200.0,1540.0,1945.0,350.0,500.0,1200.0,84.0,10.6,64.0,21935.0
Huntington College,IN,2,450.0,430.0,95.56,125.0,20.0,46.0,488.0,43.0,9950.0,9950.0,3920.0,,250.0,300.0,1300.0,76.0,11.8,47.0,25670.0
University of Indianapolis,IN,2,1487.0,1276.0,85.81,388.0,26.0,51.0,1417.0,1646.0,11120.0,11120.0,4080.0,,30.0,525.0,1405.0,55.0,11.1,69.0,28280.0
Indiana Institute of Technology,IN,2,1052.0,810.0,77.0,167.0,7.0,47.0,477.0,602.0,8120.0,8120.0,3790.0,,,,,40.0,15.4,,20030.0
University of Southern Indiana,IN,1,2379.0,2133.0,89.66,1292.0,8.0,25.0,4283.0,2973.0,2040.0,4973.0,1660.0,1532.0,20.0,500.0,1425.0,56.0,22.0,38.0,12150.0
Indiana University at Bloomington,IN,1,16587.0,13243.0,79.84,5873.0,25.0,72.0,24763.0,2717.0,2984.0,9766.0,,,389.0,600.0,2000.0,77.0,21.3,68.0,15739.0
Indiana Univ. East,IN,1,814.0,814.0,100.0,616.0,6.0,24.0,988.0,1356.0,2369.0,6140.0,,,116.0,570.0,,52.0,13.8,24.0,9195.0
Indiana Univ.-Purdue Univ. at Fort Wayne,IN,1,2464.0,2306.0,93.59,1714.0,7.0,32.0,4981.0,5917.0,2090.0,5170.0,,,91.0,500.0,2000.0,67.0,16.0,41.0,9851.0
Indiana Univ.-Purdue Univ. at Indianapolis,IN,1,4630.0,3655.0,78.94,2301.0,5.0,27.0,9216.0,11176.0,2766.0,8490.0,,,212.0,600.0,2200.0,69.0,10.4,25.0,14268.0
Indiana Univ. at Kokomo,IN,1,1108.0,1086.0,98.01,723.0,4.0,26.0,1139.0,2070.0,2369.0,6140.0,,,90.0,660.0,,60.0,14.7,23.0,9259.0
Indiana Univ. Northwest,IN,1,1572.0,1241.0,78.94,907.0,5.0,18.0,2699.0,2611.0,2369.0,6140.0,,,96.0,500.0,,56.0,18.2,33.0,9105.0
Indiana Univ. at South Bend,IN,1,1500.0,1250.0,83.33,980.0,10.0,30.0,2761.0,3341.0,2412.0,6594.0,,,146.0,600.0,,69.0,14.4,33.0,9752.0
Indiana Univ. Southeast,IN,1,1265.0,1256.0,99.29,911.0,,,2728.0,2660.0,2369.0,6140.0,,,73.0,500.0,,76.0,16.7,33.0,9082.0
Manchester College,IN,2,1004.0,802.0,79.88,239.0,23.0,63.0,909.0,51.0,10440.0,10440.0,1960.0,1890.0,350.0,525.0,1450.0,63.0,11.8,64.0,27055.0
Marian College,IN,2,770.0,542.0,70.39,238.0,15.0,42.0,923.0,427.0,9990.0,9990.0,3822.0,,164.0,450.0,1540.0,38.0,10.4,61.0,25956.0
Indiana Wesleyan University,IN,2,735.0,423.0,57.55,366.0,20.0,48.0,2448.0,707.0,9210.0,9210.0,1558.0,2224.0,,700.0,1000.0,49.0,39.8,34.0,23902.0
Oakland City College,IN,2,495.0,465.0,93.94,275.0,18.0,35.0,695.0,193.0,7620.0,7260.0,998.0,1986.0,186.0,740.0,900.0,41.0,11.5,62.0,19690.0
Purdue University at West Lafayette,IN,1,21804.0,18744.0,85.97,5874.0,29.0,60.0,26213.0,4065.0,2884.0,9556.0,,,,570.0,1060.0,86.0,18.2,67.0,14070.0
Purdue University Calumet,IN,1,,,,,,,3831.0,4186.0,2374.0,5521.0,,,30.0,490.0,,,,,8415.0
Rose-Hulman Institute of Technology,IN,2,3320.0,1840.0,55.42,381.0,73.0,93.0,1320.0,,13380.0,13380.0,2070.0,2136.0,120.0,600.0,600.0,91.0,13.6,97.0,32286.0
Saint Francis College,IN,2,213.0,166.0,77.93,85.0,13.0,36.0,513.0,247.0,8670.0,8670.0,3820.0,,80.0,450.0,1000.0,43.0,12.5,48.0,22690.0
Saint Joseph's College,IN,2,920.0,684.0,74.35,225.0,24.0,42.0,815.0,222.0,11200.0,11200.0,4250.0,,330.0,600.0,950.0,55.0,14.8,67.0,28530.0
Calumet College of St. Joseph,IN,2,225.0,203.0,90.22,176.0,13.0,24.0,470.0,627.0,3960.0,3960.0,,,25.0,,,37.0,10.6,,7945.0
Saint Mary-of-the-Woods College,IN,2,150.0,130.0,86.67,88.0,23.0,50.0,341.0,768.0,10300.0,10300.0,1590.0,2540.0,400.0,500.0,1700.0,44.0,10.2,75.0,27330.0
Saint Mary's College,IN,2,888.0,734.0,82.66,393.0,26.0,60.0,1433.0,27.0,12730.0,12730.0,2652.0,1862.0,901.0,500.0,1525.0,74.0,9.9,98.0,32900.0
Saint Meinrad College,IN,2,69.0,44.0,63.77,36.0,30.0,44.0,118.0,,6004.0,6004.0,,,76.0,400.0,2100.0,67.0,4.9,,14584.0
Taylor University,IN,2,1769.0,1092.0,61.73,437.0,41.0,80.0,1757.0,81.0,10965.0,10965.0,1900.0,2100.0,210.0,450.0,1250.0,60.0,14.2,98.0,27840.0
Tri-State University,IN,2,1262.0,1102.0,87.32,276.0,14.0,40.0,978.0,98.0,9456.0,9456.0,,,186.0,468.0,1323.0,53.0,12.8,65.0,20889.0
University of Notre Dame,IN,2,7700.0,3700.0,48.05,1906.0,79.0,96.0,7671.0,30.0,16850.0,16850.0,4400.0,,147.0,600.0,1350.0,96.0,13.1,97.0,40197.0
Valparaiso University,IN,2,2075.0,1727.0,83.23,520.0,49.0,81.0,2501.0,198.0,11800.0,11800.0,1300.0,1960.0,450.0,500.0,800.0,87.0,14.2,95.0,28610.0
Wabash College,IN,2,800.0,623.0,77.88,256.0,41.0,76.0,801.0,5.0,12925.0,12925.0,1480.0,2715.0,250.0,500.0,635.0,78.0,9.9,72.0,31430.0
Indiana State University,IN,1,5659.0,4761.0,84.13,3147.0,10.0,31.0,8596.0,1949.0,2802.0,6892.0,,,,600.0,2500.0,72.0,16.6,40.0,12794.0
Baker University,KS,2,602.0,483.0,80.23,206.0,21.0,47.0,958.0,466.0,8620.0,8620.0,1900.0,2200.0,310.0,400.0,2250.0,58.0,11.0,65.0,24300.0
Bethany College,KS,2,878.0,816.0,92.94,200.0,16.0,41.0,706.0,62.0,8740.0,8740.0,1463.0,1900.0,105.0,550.0,1700.0,62.0,11.6,48.0,23198.0
Bethel College,KS,2,202.0,184.0,91.09,122.0,19.0,42.0,537.0,101.0,8540.0,8540.0,1960.0,1620.0,200.0,500.0,1400.0,61.0,8.8,56.0,22760.0
Fort Hays State University,KS,1,1363.0,1363.0,100.0,806.0,,33.0,3640.0,706.0,1734.0,4869.0,2950.0,,,500.0,,65.0,18.1,44.0,10053.0
Friends University,KS,2,358.0,276.0,77.09,172.0,5.0,24.0,838.0,122.0,8516.0,8516.0,,1910.0,115.0,650.0,,55.0,25.0,49.0,19707.0
Pittsburg State University,KS,1,1419.0,1313.0,92.53,813.0,11.0,30.0,4469.0,499.0,1778.0,5424.0,3000.0,,,300.0,2000.0,52.0,23.2,58.0,12502.0
Emporia State University,KS,1,1256.0,1256.0,100.0,853.0,43.0,79.0,3957.0,588.0,1729.0,5401.0,1512.0,1632.0,,450.0,1888.0,72.0,19.3,50.0,12612.0
Kansas State University,KS,1,5880.0,4075.0,69.3,2833.0,25.0,55.0,14914.0,2246.0,1713.0,6995.0,3120.0,,403.0,600.0,2000.0,76.0,18.5,54.0,14831.0
Kansas Wesleyan University,KS,2,589.0,575.0,97.62,148.0,16.0,40.0,474.0,258.0,8400.0,8400.0,1850.0,1400.0,120.0,500.0,1400.0,63.0,12.4,68.0,22070.0
McPherson College,KS,2,420.0,293.0,69.76,93.0,11.0,32.0,336.0,80.0,7950.0,7950.0,1550.0,2200.0,260.0,600.0,2740.0,54.0,9.8,48.0,23250.0
Ottawa University,KS,2,607.0,388.0,63.92,236.0,8.0,19.0,538.0,36.0,7250.0,7250.0,1945.0,1300.0,,400.0,2730.0,47.0,14.5,46.0,20875.0
Southwestern College,KS,2,213.0,155.0,72.77,75.0,28.0,66.0,504.0,147.0,7200.0,7200.0,,,,550.0,1500.0,56.0,11.8,52.0,16450.0
Saint Mary College,KS,2,273.0,229.0,83.88,66.0,25.0,60.0,439.0,415.0,7800.0,7800.0,3820.0,,270.0,800.0,,50.0,8.2,53.0,20490.0
Sterling College,KS,2,479.0,373.0,77.87,127.0,20.0,43.0,631.0,133.0,8280.0,8280.0,,,100.0,500.0,,50.0,16.1,36.0,17160.0
Tabor College,KS,2,257.0,183.0,71.21,109.0,19.0,41.0,396.0,38.0,7850.0,7850.0,2010.0,1400.0,200.0,400.0,1500.0,55.0,10.0,53.0,21210.0
University of Kansas,KS,1,8579.0,5561.0,64.82,3681.0,25.0,50.0,17880.0,1673.0,1650.0,6994.0,,,388.0,700.0,2681.0,88.0,13.7,57.0,12413.0
Washburn University,KS,1,1100.0,1078.0,98.0,560.0,,36.0,3157.0,2705.0,2790.0,4774.0,1410.0,1800.0,32.0,450.0,1000.0,82.0,13.8,53.0,12256.0
Wichita State University,KS,1,2901.0,2236.0,77.08,896.0,,39.0,6550.0,5083.0,1650.0,6994.0,,,465.0,450.0,350.0,82.0,20.4,32.0,9909.0
MidAmerica Nazarene College,KS,2,331.0,331.0,100.0,225.0,15.0,36.0,1100.0,166.0,6840.0,6840.0,,,472.0,1100.0,4913.0,33.0,15.4,49.0,20165.0
Benedictine College,KS,2,632.0,620.0,98.1,222.0,14.0,24.0,702.0,501.0,9550.0,9550.0,2250.0,1600.0,210.0,350.0,250.0,64.0,14.1,58.0,23760.0
Alice Lloyd College,KY,2,1174.0,607.0,51.7,289.0,20.0,45.0,555.0,24.0,,3800.0,1100.0,1380.0,300.0,500.0,800.0,56.0,19.4,31.0,7880.0
Asbury College,KY,2,643.0,509.0,79.16,280.0,26.0,56.0,1110.0,39.0,8988.0,8988.0,1226.0,1538.0,125.0,500.0,1600.0,61.0,12.1,,22965.0
Bellarmine College,KY,2,807.0,707.0,87.61,308.0,39.0,63.0,1198.0,605.0,8840.0,8840.0,1950.0,1000.0,100.0,750.0,1290.0,74.0,13.1,84.0,22770.0
Berea College,KY,2,1836.0,599.0,32.63,455.0,35.0,60.0,1540.0,51.0,,,1355.0,1480.0,188.0,450.0,1027.0,77.0,13.2,57.0,4500.0
Brescia College,KY,2,307.0,260.0,84.69,99.0,17.0,42.0,452.0,249.0,7500.0,7500.0,3200.0,,,650.0,,49.0,10.1,56.0,18850.0
Campbellsville College,KY,2,848.0,587.0,69.22,298.0,25.0,55.0,935.0,184.0,6060.0,6060.0,1850.0,1220.0,,600.0,1300.0,62.0,17.7,49.0,17090.0
Spalding University,KY,2,283.0,201.0,71.02,97.0,10.0,45.0,589.0,263.0,8400.0,8400.0,,,96.0,600.0,900.0,50.0,10.6,89.0,18396.0
Centre College,KY,2,1013.0,888.0,87.66,288.0,55.0,82.0,943.0,7.0,11850.0,11850.0,2120.0,2150.0,350.0,600.0,900.0,95.0,11.4,74.0,29820.0
Cumberland College,KY,2,995.0,789.0,79.3,398.0,26.0,47.0,1306.0,122.0,6230.0,6230.0,3526.0,,32.0,400.0,600.0,42.0,13.0,63.0,17018.0
Eastern Kentucky University,KY,1,5443.0,5135.0,94.34,2445.0,,,11208.0,3350.0,1700.0,4700.0,1960.0,1236.0,,600.0,,82.0,19.8,39.0,10196.0
Georgetown College,KY,2,727.0,693.0,95.32,286.0,30.0,55.0,1063.0,48.0,8000.0,8100.0,1975.0,1975.0,50.0,550.0,550.0,73.0,13.3,55.0,21200.0
Kentucky State University,KY,1,1636.0,952.0,58.19,424.0,6.0,22.0,1544.0,896.0,1340.0,4120.0,1456.0,1226.0,100.0,510.0,,60.0,15.0,19.0,8752.0
Kentucky Wesleyan College,KY,2,584.0,497.0,85.1,175.0,20.0,49.0,662.0,121.0,8000.0,8000.0,2300.0,1850.0,200.0,500.0,1300.0,57.0,11.3,62.0,22150.0
Lindsey Wilson College,KY,2,1089.0,865.0,79.43,382.0,,,1006.0,164.0,6600.0,6600.0,1400.0,2150.0,80.0,400.0,500.0,32.0,19.3,,17730.0
Morehead State University,KY,1,2825.0,2495.0,88.32,1300.0,,,6311.0,975.0,1580.0,4740.0,,,320.0,500.0,1050.0,58.0,19.9,52.0,8190.0
Murray State University,KY,1,2225.0,1910.0,85.84,1190.0,29.0,55.0,5968.0,955.0,1580.0,4738.0,1290.0,1820.0,280.0,700.0,940.0,72.0,20.2,52.0,11348.0
Pikeville College,KY,2,404.0,400.0,99.01,169.0,28.0,48.0,797.0,100.0,6000.0,6000.0,3000.0,,130.0,500.0,500.0,48.0,13.4,61.0,16130.0
Transylvania University,KY,2,759.0,729.0,96.05,244.0,57.0,81.0,867.0,51.0,10900.0,10900.0,2480.0,1970.0,450.0,500.0,1000.0,81.0,12.1,70.0,28200.0
Union College,KY,2,484.0,384.0,79.34,177.0,9.0,45.0,634.0,78.0,7800.0,7800.0,2950.0,,,500.0,600.0,60.0,14.1,64.0,19650.0
University of Kentucky,KY,1,7769.0,5689.0,73.23,2675.0,,,14931.0,2596.0,2160.0,6640.0,,,330.0,450.0,1340.0,95.0,12.2,52.0,10920.0
University of Louisville,KY,1,4777.0,3057.0,63.99,1823.0,16.0,33.0,9844.0,6198.0,2180.0,6540.0,,,210.0,530.0,2440.0,84.0,11.1,31.0,11900.0
Thomas More College,KY,2,808.0,594.0,73.51,218.0,,,756.0,502.0,9490.0,9490.0,2248.0,1644.0,110.0,400.0,880.0,65.0,10.5,66.0,24262.0
Western Kentucky University,KY,1,4441.0,3260.0,73.41,2082.0,,,10264.0,2910.0,1801.0,4961.0,1316.0,1833.0,221.0,500.0,1100.0,66.0,19.1,45.0,11732.0
Northern Kentucky University,KY,1,2920.0,2506.0,85.82,1682.0,,,7112.0,3832.0,1720.0,4720.0,2900.0,,,500.0,500.0,66.0,17.7,52.0,10340.0
Centenary College of Louisiana,LA,2,495.0,434.0,87.68,210.0,35.0,55.0,775.0,44.0,8950.0,8950.0,1470.0,2020.0,306.0,600.0,1900.0,86.0,11.3,66.0,24196.0
Dillard University,LA,2,1998.0,1376.0,68.87,651.0,41.0,88.0,1539.0,45.0,6700.0,6700.0,,,,500.0,2307.0,52.0,14.1,61.0,16207.0
Nicholls State University,LA,1,2020.0,1898.0,93.96,1092.0,,,4921.0,1338.0,1980.0,4572.0,,,37.0,600.0,2307.0,65.0,21.8,36.0,9496.0
Grambling State University,LA,1,4847.0,3518.0,72.58,1900.0,27.0,65.0,6567.0,261.0,1044.0,1044.0,775.0,531.0,12.0,500.0,1200.0,46.0,24.6,58.0,5106.0
Louisiana College,LA,2,2013.0,1053.0,52.31,212.0,33.0,61.0,912.0,158.0,5150.0,5150.0,,,420.0,500.0,1655.0,64.0,10.5,59.0,12875.0
Louisiana Tech University,LA,1,2397.0,2144.0,89.45,1525.0,22.0,45.0,6720.0,1822.0,2262.0,3957.0,1245.0,1080.0,,618.0,1656.0,66.0,20.0,45.0,10818.0
Louisiana State University at Baton Rouge,LA,1,5996.0,4993.0,83.27,3079.0,29.0,57.0,16269.0,3757.0,2625.0,5925.0,1720.0,1260.0,75.0,600.0,2242.0,83.0,15.9,37.0,14447.0
Louisiana State University at Shreveport,LA,1,675.0,645.0,95.56,500.0,,,2413.0,1477.0,1950.0,4990.0,,1680.0,130.0,617.0,2307.0,62.0,18.1,35.0,11674.0
University of New Orleans,LA,1,2406.0,2139.0,88.9,1501.0,,,8158.0,3643.0,2362.0,5154.0,1557.0,1566.0,,800.0,1790.0,75.0,17.9,19.0,13229.0
Loyola University,LA,2,1891.0,1698.0,89.79,719.0,24.0,80.0,2740.0,761.0,11100.0,11100.0,2980.0,2890.0,190.0,600.0,750.0,77.0,11.7,53.0,29610.0
McNeese State University,LA,1,2066.0,2031.0,98.31,1525.0,,,6020.0,1317.0,1966.0,3450.0,1110.0,1200.0,,650.0,1608.0,69.0,21.1,34.0,9984.0
Northeast Louisiana University,LA,1,2963.0,2814.0,94.97,1840.0,,41.0,8718.0,1707.0,1644.0,3804.0,,,282.0,617.0,1655.0,57.0,20.6,21.0,8002.0
Northwestern State University of Louisiana,LA,1,2671.0,2671.0,100.0,1330.0,,,5742.0,1969.0,2040.0,4040.0,1236.0,980.0,143.0,500.0,1600.0,67.0,29.5,33.0,10539.0
Our Lady of Holy Cross College,LA,2,246.0,217.0,88.21,171.0,,,674.0,472.0,4400.0,4400.0,,,95.0,534.0,,72.0,16.1,73.0,9429.0
Southeastern Louisiana University,LA,1,3247.0,3247.0,100.0,2297.0,,,9724.0,2192.0,1910.0,3854.0,1030.0,1200.0,,250.0,,61.0,24.3,29.0,8244.0
Southern University at New Orleans,LA,1,900.0,900.0,100.0,490.0,10.0,30.0,2911.0,1089.0,1451.0,3009.0,,,,600.0,,62.0,19.6,35.0,5060.0
Tulane University,LA,2,7033.0,5125.0,72.87,1223.0,47.0,75.0,4941.0,1534.0,19040.0,19040.0,2690.0,3260.0,510.0,350.0,800.0,98.0,9.1,74.0,45690.0
University of Southwestern Louisiana,LA,1,4299.0,4250.0,98.86,2664.0,,,11767.0,3219.0,1898.0,4898.0,,,,560.0,,63.0,22.7,30.0,7356.0
Xavier University of Louisiana,LA,2,2097.0,1915.0,91.32,695.0,34.0,61.0,2793.0,166.0,6900.0,6900.0,,,200.0,617.0,781.0,67.0,14.4,49.0,15398.0
Southern University and A & M College,LA,1,2431.0,2416.0,99.38,1711.0,37.0,45.0,7534.0,775.0,2028.0,3950.0,1208.0,1508.0,,600.0,600.0,50.0,15.9,33.0,9894.0
American International College,MA,2,1420.0,1093.0,76.97,220.0,9.0,22.0,1018.0,287.0,8700.0,8700.0,4780.0,,480.0,450.0,1400.0,78.0,14.7,69.0,24510.0
Amherst College,MA,2,4302.0,992.0,23.06,418.0,83.0,96.0,1593.0,5.0,19760.0,19760.0,2650.0,2650.0,272.0,660.0,1598.0,93.0,8.4,100.0,47350.0
Anna Maria College,MA,2,350.0,283.0,80.86,82.0,9.0,34.0,367.0,406.0,10800.0,10800.0,,,550.0,500.0,,45.0,11.7,82.0,22650.0
Assumption College,MA,2,2135.0,1700.0,79.63,491.0,23.0,59.0,1708.0,689.0,12000.0,12000.0,,,125.0,500.0,500.0,93.0,13.8,88.0,25125.0
Merrimack College,MA,2,1981.0,1541.0,77.79,514.0,18.0,36.0,1927.0,1084.0,12500.0,12500.0,2750.0,3450.0,175.0,375.0,1000.0,73.0,16.8,80.0,32750.0
Babson College,MA,2,2007.0,1139.0,56.75,407.0,30.0,68.0,1680.0,,16600.0,16600.0,2495.0,4490.0,660.0,500.0,1045.0,93.0,16.8,94.0,42390.0
Bentley College,MA,2,3466.0,2330.0,67.22,640.0,20.0,60.0,3095.0,1533.0,13800.0,13800.0,2730.0,2780.0,65.0,630.0,850.0,87.0,17.5,82.0,34655.0
Berklee College of Music,MA,2,1975.0,1516.0,76.76,712.0,,,2223.0,304.0,11550.0,11550.0,,,385.0,400.0,1115.0,15.0,10.2,38.0,25000.0
Boston College,MA,2,13112.0,6179.0,47.12,2154.0,66.0,94.0,8807.0,,16640.0,16640.0,3130.0,3830.0,448.0,500.0,1300.0,95.0,16.6,90.0,42488.0
Boston University,MA,2,20192.0,13007.0,64.42,3810.0,45.0,80.0,14971.0,3113.0,18420.0,18420.0,3920.0,2890.0,270.0,475.0,1025.0,80.0,11.9,72.0,45420.0
Bradford College,MA,2,443.0,330.0,74.49,151.0,5.0,36.0,453.0,42.0,14080.0,14080.0,3500.0,2750.0,260.0,500.0,900.0,57.0,10.2,46.0,36070.0
Brandeis University,MA,2,4186.0,2743.0,65.53,740.0,48.0,77.0,2819.0,62.0,19380.0,19380.0,3500.0,3250.0,450.0,410.0,1000.0,90.0,9.8,84.0,47370.0
Clark University,MA,2,2887.0,2059.0,71.32,457.0,30.0,61.0,1928.0,296.0,17500.0,17500.0,2000.0,2200.0,440.0,500.0,950.0,94.0,10.5,79.0,41090.0
Elms College,MA,2,245.0,208.0,84.9,125.0,23.0,46.0,544.0,436.0,11800.0,11800.0,4765.0,,400.0,450.0,1700.0,71.0,11.3,86.0,30915.0
College of the Holy Cross,MA,2,2994.0,1691.0,56.48,659.0,70.0,95.0,2675.0,22.0,18000.0,18000.0,6300.0,,355.0,400.0,900.0,92.0,11.3,95.0,43955.0
Curry College,MA,2,1224.0,936.0,76.47,283.0,5.0,25.0,891.0,332.0,13600.0,13600.0,3050.0,2400.0,500.0,600.0,,39.0,8.7,58.0,33750.0
Eastern Nazarene College,MA,2,516.0,409.0,79.26,200.0,17.0,40.0,1238.0,30.0,8770.0,8770.0,3500.0,,590.0,450.0,700.0,58.0,17.3,70.0,22780.0
Emerson College,MA,2,1849.0,1228.0,66.41,492.0,19.0,51.0,2025.0,169.0,15200.0,15200.0,4590.0,3192.0,348.0,500.0,933.0,,18.0,62.0,39963.0
Endicott College,MA,2,1000.0,858.0,85.8,319.0,10.0,29.0,665.0,298.0,11455.0,11455.0,,,250.0,400.0,1000.0,33.0,12.3,,24560.0
Gordon College,MA,2,674.0,565.0,83.83,282.0,25.0,54.0,1151.0,39.0,12200.0,12200.0,1470.0,2600.0,520.0,400.0,1200.0,73.0,14.2,66.0,30590.0
Harvard University,MA,2,13865.0,2165.0,15.61,1606.0,90.0,100.0,6862.0,320.0,18485.0,18485.0,3370.0,3040.0,1335.0,500.0,1920.0,97.0,9.9,100.0,47135.0
Lasell College,MA,2,618.0,540.0,87.38,171.0,8.0,21.0,470.0,59.0,11475.0,11475.0,,,525.0,600.0,2150.0,32.0,9.1,,26225.0
Lesley College,MA,2,244.0,198.0,81.15,82.0,12.0,33.0,1134.0,336.0,11700.0,11700.0,2100.0,3200.0,120.0,550.0,805.0,71.0,27.8,58.0,30175.0
University of Massachusetts at Lowell,MA,1,3986.0,3026.0,75.92,1093.0,8.0,29.0,5740.0,4182.0,4694.0,9838.0,1774.0,2390.0,,500.0,1160.0,81.0,16.1,53.0,20356.0
Massachusetts Institute of Technology,MA,2,6411.0,2140.0,33.38,1078.0,96.0,99.0,4481.0,28.0,20100.0,20100.0,3200.0,2775.0,600.0,725.0,1600.0,99.0,10.1,94.0,49100.0
Bridgewater State College,MA,1,4915.0,3340.0,67.96,1064.0,4.0,21.0,5356.0,1502.0,1408.0,5542.0,2291.0,1700.0,2014.0,500.0,1750.0,73.0,17.1,51.0,15205.0
Fitchburg State College,MA,1,2857.0,2090.0,73.15,577.0,5.0,20.0,2879.0,1412.0,1408.0,5542.0,2330.0,1700.0,1826.0,450.0,1555.0,,14.7,57.0,14811.0
Framingham State College,MA,1,4141.0,2316.0,55.93,586.0,7.0,28.0,3248.0,1969.0,1380.0,5244.0,2110.0,1256.0,1796.0,500.0,600.0,68.0,21.2,,12886.0
North Adams State College,MA,1,1563.0,1005.0,64.3,240.0,1.0,19.0,1380.0,136.0,1408.0,5542.0,2400.0,1930.0,2147.0,500.0,1000.0,65.0,14.2,57.0,14927.0
Salem State College,MA,1,3973.0,3168.0,79.74,1334.0,,,5625.0,3416.0,1408.0,5542.0,1564.0,1950.0,1650.0,375.0,650.0,55.0,21.0,45.0,13139.0
Westfield State College,MA,1,3100.0,2150.0,69.35,825.0,3.0,20.0,3234.0,941.0,1408.0,5542.0,2600.0,1188.0,1746.0,500.0,1300.0,75.0,15.7,65.0,14284.0
Worcester State College,MA,1,2197.0,1515.0,68.96,543.0,4.0,26.0,3089.0,2029.0,2663.0,6797.0,2660.0,1240.0,1255.0,500.0,1200.0,60.0,21.0,40.0,16315.0
Mount Holyoke College,MA,2,1800.0,1314.0,73.0,526.0,47.0,79.0,1891.0,40.0,19300.0,19300.0,2800.0,2900.0,735.0,750.0,750.0,79.0,9.0,84.0,46535.0
Mount Ida College,MA,2,4750.0,4041.0,85.07,795.0,,,1501.0,334.0,9810.0,9810.0,6890.0,,290.0,300.0,,32.0,13.5,77.0,27100.0
Nichols College,MA,2,780.0,702.0,90.0,218.0,6.0,21.0,707.0,693.0,9744.0,9744.0,2812.0,2812.0,200.0,400.0,1000.0,83.0,27.7,,26712.0
Northeastern University,MA,2,11901.0,8492.0,71.36,2517.0,16.0,42.0,11160.0,10221.0,13380.0,13380.0,3990.0,3435.0,186.0,600.0,1750.0,73.0,12.9,46.0,36721.0
Pine Manor College,MA,2,354.0,323.0,91.24,125.0,,10.0,372.0,28.0,15190.0,15190.0,3240.0,3240.0,675.0,400.0,500.0,46.0,8.9,67.0,38435.0
Regis College,MA,2,427.0,385.0,90.16,143.0,18.0,38.0,581.0,533.0,12700.0,12700.0,5800.0,,275.0,450.0,700.0,81.0,10.3,84.0,32625.0
Simmons College,MA,2,1003.0,782.0,77.97,295.0,23.0,53.0,1144.0,160.0,16160.0,16160.0,,,518.0,500.0,1200.0,74.0,8.9,79.0,34538.0
Smith College,MA,2,2925.0,1598.0,54.63,632.0,51.0,88.0,2479.0,95.0,18820.0,18820.0,,,163.0,500.0,1050.0,85.0,10.3,90.0,39353.0
University of Massachusetts at Dartmouth,MA,1,3347.0,2597.0,77.59,1006.0,10.0,37.0,4664.0,1630.0,1836.0,6919.0,,,1999.0,500.0,1250.0,74.0,15.0,56.0,12504.0
Springfield College,MA,2,1888.0,1347.0,71.35,519.0,,,2160.0,131.0,9438.0,9438.0,2100.0,2200.0,432.0,,,55.0,12.8,76.0,23608.0
Stonehill College,MA,2,3646.0,2300.0,63.08,585.0,25.0,69.0,2022.0,926.0,12170.0,12170.0,,,275.0,480.0,800.0,79.0,13.0,97.0,25895.0
Suffolk University,MA,2,1247.0,980.0,78.59,356.0,11.0,32.0,2207.0,814.0,10584.0,10584.0,,,60.0,500.0,2400.0,95.0,13.3,60.0,24128.0
